store_id,status,timestamp_utc
8419537941919820732,active,2023-01-22 12:09:39.388884 UTC
54515546588432327,active,2023-01-24 09:06:42.605777 UTC
8377465688456570187,active,2023-01-24 09:07:26.441407 UTC
5955337179846162144,active,2023-01-24 09:08:07.634899 UTC
1169347689335808384,active,2023-01-24 09:08:18.436854 UTC
3739729523266121270,active,2023-01-24 09:08:23.138922 UTC
4430370444829587327,active,2023-01-24 09:09:37.456563 UTC
1912555533282230523,active,2023-01-24 09:09:58.684489 UTC
5489547402882838709,active,2023-01-24 09:10:28.873707 UTC
759601765366096871,active,2023-01-19 06:07:21.331383 UTC
5627904252074297008,active,2023-01-24 14:01:52.138196 UTC
2651685499613063745,active,2023-01-25 13:04:00.152582 UTC
5043046815492880667,active,2023-01-21 16:00:49.46544 UTC
2367299134091594697,active,2023-01-21 16:01:36.311245 UTC
6613902849003357359,active,2023-01-21 16:02:05.815869 UTC
1396650693591399695,active,2023-01-21 16:02:13.198837 UTC
837699569013981799,active,2023-01-20 17:04:14.098493 UTC
2057963137235512954,active,2023-01-21 17:15:29.921161 UTC
6108568838704593560,active,2023-01-21 17:15:36.013705 UTC
7815590034868021689,active,2023-01-21 17:15:39.285005 UTC
7493928216510270665,active,2023-01-21 17:15:43.777556 UTC
7961038966240415760,active,2023-01-24 05:58:13.493839 UTC
605803287923472894,active,2023-01-24 05:58:22.253512 UTC
5278384915350904550,active,2023-01-24 05:58:35.019985 UTC
8494749731668571682,active,2023-01-24 05:59:35.717711 UTC
4858828967449392712,active,2023-01-24 06:00:06.282107 UTC
7555752115160416405,active,2023-01-24 06:00:09.856329 UTC
8625022238145771938,active,2023-01-24 06:01:30.549983 UTC
4159147177864939740,active,2023-01-24 06:01:48.829267 UTC
8157355919956132858,active,2023-01-24 06:02:06.671383 UTC
3595154674145356045,active,2023-01-24 08:08:22.366068 UTC
5693932324957995427,active,2023-01-24 08:09:45.795033 UTC
8631502755712457479,active,2023-01-24 08:10:02.700743 UTC
7369215549436595643,active,2023-01-24 08:10:33.505185 UTC
5733393565264082443,active,2023-01-24 09:00:46.942944 UTC
4681743429609749121,active,2023-01-24 09:01:32.991896 UTC
2567728765809290933,active,2023-01-24 09:01:33.08028 UTC
284239040495575980,active,2023-01-24 09:01:46.901535 UTC
6656463669299127947,active,2023-01-25 17:01:33.08729 UTC
9184109988854973601,active,2023-01-25 17:01:47.001499 UTC
6031574077635056029,active,2023-01-25 17:03:15.216687 UTC
9111813718630350474,active,2023-01-25 17:04:28.386537 UTC
8750493480383302874,active,2023-01-25 17:13:14.314139 UTC
3048405945625600463,active,2023-01-25 17:14:39.546335 UTC
3983786718839842887,active,2023-01-22 13:01:57.541752 UTC
5047154360023757128,active,2023-01-22 13:02:23.32053 UTC
7933946190613920010,active,2023-01-24 17:02:46.924337 UTC
379226339704530410,active,2023-01-24 17:03:38.648073 UTC
1253356761818562621,active,2023-01-24 17:03:39.528946 UTC
4755926456158904833,active,2023-01-24 13:04:52.996699 UTC
8803894796084290585,active,2023-01-24 13:06:07.451867 UTC
6836033035108373086,active,2023-01-25 07:12:14.807753 UTC
2639750514662973687,active,2023-01-25 08:01:11.304168 UTC
1040732551176103056,active,2023-01-25 08:01:25.493818 UTC
8304911926566338483,active,2023-01-25 08:03:35.488792 UTC
3361278033591045661,active,2023-01-24 19:04:58.044409 UTC
2601623541509400542,active,2023-01-24 19:05:06.491585 UTC
8207758013351082541,active,2023-01-24 19:08:20.564245 UTC
4249300502744464539,active,2023-01-21 23:03:19.159515 UTC
881974164067848799,active,2023-01-25 03:02:21.151826 UTC
4031771205466256346,active,2023-01-25 15:01:08.85142 UTC
8117247589549708019,active,2023-01-25 15:01:26.666202 UTC
5223121655148958959,active,2023-01-25 15:02:37.736233 UTC
5281145666427062582,active,2023-01-24 22:04:47.935159 UTC
7103249743888768279,active,2023-01-24 22:05:30.813682 UTC
6937872202603482963,active,2023-01-24 22:05:32.597802 UTC
4359897525988670130,active,2023-01-24 22:05:34.178899 UTC
8668949117244880140,active,2023-01-24 22:06:09.810504 UTC
329697652999698776,active,2023-01-24 22:06:21.237524 UTC
2873839205725435068,active,2023-01-24 22:07:09.690768 UTC
1634983772484395625,active,2023-01-19 20:10:40.15454 UTC
8754037299794781932,active,2023-01-24 23:00:37.675951 UTC
8478659457975884995,active,2023-01-24 23:01:00.176339 UTC
3173528025538718452,active,2023-01-24 23:01:12.178654 UTC
1172776965412058288,active,2023-01-24 23:01:20.331624 UTC
8050904836920798206,active,2023-01-24 23:01:26.483115 UTC
3485383537492459194,active,2023-01-25 10:12:16.118661 UTC
7791569942019889767,active,2023-01-25 11:02:42.259213 UTC
7647796266115725856,active,2023-01-25 11:03:07.295786 UTC
7372385631979013974,active,2023-01-25 11:03:29.467753 UTC
1886094822273762805,active,2023-01-25 11:04:58.483557 UTC
1921227243936268124,active,2023-01-25 11:05:45.58739 UTC
2670800031826856367,active,2023-01-25 11:05:57.750103 UTC
2529970021684233025,active,2023-01-19 17:00:27.412409 UTC
3390153829311738919,active,2023-01-19 17:00:34.642318 UTC
2723172216807087715,active,2023-01-19 17:00:39.388891 UTC
3457174951287490032,active,2023-01-19 17:03:03.899355 UTC
1557691556894768738,active,2023-01-19 17:04:28.588741 UTC
4395688375231610603,active,2023-01-25 13:06:39.780262 UTC
3480535111316179789,active,2023-01-25 13:06:44.992108 UTC
8080175208160124283,active,2023-01-25 13:08:44.604298 UTC
4894791864539115200,active,2023-01-25 14:00:48.208054 UTC
6529727365761998945,active,2023-01-25 14:03:41.134291 UTC
2937297056410899541,active,2023-01-25 14:05:58.143832 UTC
7257064183173214729,active,2023-01-24 05:54:49.493789 UTC
3151529852031249810,active,2023-01-24 05:54:54.692658 UTC
8258804424046746943,active,2023-01-24 05:57:10.818206 UTC
6614523831540505463,active,2023-01-24 05:57:28.659871 UTC
1826435698432426239,active,2023-01-20 14:04:55.444182 UTC
4333246355539626670,active,2023-01-20 14:04:55.899763 UTC
4644728874609587438,active,2023-01-24 15:02:26.964636 UTC
646862635677872649,active,2023-01-24 15:02:43.643326 UTC
3762462515785465924,active,2023-01-24 15:03:21.834788 UTC
7150774588280614833,active,2023-01-24 15:03:32.952513 UTC
8345736932152836262,active,2023-01-24 15:04:09.160925 UTC
